,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
155,Buyile,"Kabza De Small",15128,https://open.spotify.com/track/4O0rrG4aL9ehxK8j5516vH
156,Better,Khalid,15070,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
157,"Say So","Doja Cat",15006,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
158,Perfect,Logic,15001,https://open.spotify.com/track/5jbDih9bLGmI8ycUKkN5XA
159,"Money In The Grave (Drake ft. Rick Ross)",Drake,14990,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
160,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",14977,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
161,"Something Just Like This","The Chainsmokers",14943,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
162,"Lose You To Love Me","Selena Gomez",14938,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
163,"Take You Dancing","Jason Derulo",14898,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
164,21,"Polo G",14865,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
165,"Blue Monday","Vigro Deep",14840,https://open.spotify.com/track/1gOEMASIGoFBl9DeNeRsq7
166,"Bad Energy","Juice WRLD",14838,https://open.spotify.com/track/7d94IqWX2UmSKMGUYSGFJG
167,Takeaway,"The Chainsmokers",14817,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
168,Sucker,"Jonas Brothers",14783,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
169,"ocean eyes","Billie Eilish",14778,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
170,"Blood On My Jeans","Juice WRLD",14764,https://open.spotify.com/track/0fCwrjKfWxF3xQhZrYUw4T
171,"rockstar (feat. 21 Savage)","Post Malone",14738,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
172,Surrender,"Natalie Taylor",14659,https://open.spotify.com/track/0ecC8p17cDNlxHXkuYqeR6
173,"BLIND (feat. Young Thug)",DaBaby,14626,https://open.spotify.com/track/2T5NBwKRySiCR78vVk08vr
174,"High Hopes","Panic! At The Disco",14579,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
175,"Enjoy Yourself (feat. Karol G)","Pop Smoke",14578,https://open.spotify.com/track/3NWrHCwvyII4fTx05PN3IO
176,Moonlight,XXXTENTACION,14468,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
177,"7 rings","Ariana Grande",14301,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
178,"3 Nights","Dominic Fike",14166,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
179,Daylight,Joji,13960,https://open.spotify.com/track/6Ed1q0X8oSKSm4IIhiQbYg
180,Secrets,Regard,13952,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
181,"10,000 Hours (with Justin Bieber)","Dan + Shay",13932,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
182,"Shape of You","Ed Sheeran",13906,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
183,"Scars To Your Beautiful","Alessia Cara",13870,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
184,"Stay High","Juice WRLD",13752,https://open.spotify.com/track/21CkzgKCBCq5V4XKjiGSIj
185,"Are You Bored Yet? (feat. Clairo)",Wallows,13734,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
186,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",13710,https://open.spotify.com/track/0VTfHLWzaUUb2Lbw84xOdX
187,"Summer Of '69","Bryan Adams",13688,https://open.spotify.com/track/6N1EjQjnvhOjFrF6oUmGPa
188,"Thinking out Loud","Ed Sheeran",13671,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
189,Believer,"Imagine Dragons",13661,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
190,"Lighter (feat. KSI)","Nathan Dawe",13647,https://open.spotify.com/track/5lWUeSYO61UYgNlFlqcwYl
191,Molo,"Aubrey Qwana",13598,https://open.spotify.com/track/1Jg0lG581ibc6gjzGbuRqo
192,Hardekole,"Ricus Nel",13507,https://open.spotify.com/track/61StNZ96SCYNlM5l0IGdPl
193,"Too Good At Goodbyes","Sam Smith",13493,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
194,"Dancing On My Own","Calum Scott",13408,https://open.spotify.com/track/2BOqDYLOJBiMOXShCV1neZ
195,Africa,TOTO,13376,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
196,"Never Seen the Rain","Tones And I",13312,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
197,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",13248,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
198,"Tell Me U Luv Me (with Trippie Redd)","Juice WRLD",13213,https://open.spotify.com/track/5JAYDuLRkODlVt6dgoalKk
199,"Let Her Go",Passenger,13182,https://open.spotify.com/track/2jyjhRf6DVbMPU5zxagN2h
200,"my tears ricochet","Taylor Swift",13144,https://open.spotify.com/track/1MgV7FIyNxIG7WzMRJV5HC
